대여소ID,대여소_구,
1695,노원구,
2301,강남구,
2302,강남구,
2303,강남구,
2304,강남구,
2305,강남구,
2306,강남구,
2307,강남구,
2308,강남구,
2309,강남구,
2310,강남구,
2311,강남구,
2312,강남구,
2313,강남구,
2314,강남구,
2315,강남구,
2316,강남구,
2317,강남구,
2318,강남구,
2319,강남구,
2320,강남구,
2321,강남구,
2322,강남구,
2323,강남구,
2324,강남구,
2325,강남구,
2326,강남구,
2327,강남구,
2328,강남구,
2329,강남구,
2330,강남구,
2331,강남구,
2332,강남구,
2333,강남구,
2334,강남구,
2335,강남구,
2336,강남구,
2337,강남구,
2339,강남구,
2340,강남구,
2341,강남구,
2342,강남구,
2343,강남구,
2344,강남구,
2347,강남구,
2348,강남구,
2349,강남구,
2350,강남구,
2351,강남구,
2352,강남구,
2353,강남구,
2354,강남구,
2355,강남구,
2356,강남구,
2357,강남구,
2358,강남구,
2359,강남구,
2360,강남구,
2361,강남구,
2362,강남구,
2363,강남구,
2364,강남구,
2365,강남구,
2368,강남구,
2369,강남구,
2370,강남구,
2371,강남구,
2372,강남구,
2373,강남구,
2375,강남구,
2376,강남구,
2377,강남구,
2380,강남구,
2381,강남구,
2382,강남구,
2383,강남구,
2384,강남구,
2385,강남구,
2386,강남구,
2387,강남구,
2388,강남구,
2389,강남구,
2390,강남구,
2391,강남구,
2392,강남구,
2393,강남구,
2394,강남구,
2395,강남구,
2396,강남구,
2398,강남구,
2401,강남구,
2403,강남구,
2404,강남구,
2405,강남구,
2406,강남구,
2407,강남구,
2408,강남구,
2409,강남구,
2410,강남구,
2411,강남구,
2412,강남구,
2413,강남구,
2414,강남구,
2415,강남구,
2416,강남구,
2417,강남구,
2418,강남구,
2419,강남구,
2420,강남구,
2421,강남구,
2422,강남구,
2423,강남구,
2425,강남구,
2426,강남구,
2427,강남구,
2428,강남구,
2429,강남구,
2430,강남구,
2431,강남구,
1001,강동구,
1002,강동구,
1003,강동구,
1004,강동구,
1006,강동구,
1007,강동구,
1008,강동구,
1009,강동구,
1010,강동구,
1011,강동구,
1012,강동구,
1013,강동구,
1014,강동구,
1015,강동구,
1016,강동구,
1017,강동구,
1018,강동구,
1019,강동구,
1020,강동구,
1021,강동구,
1022,강동구,
1023,강동구,
1024,강동구,
1025,강동구,
1026,강동구,
1027,강동구,
1028,강동구,
1029,강동구,
1030,강동구,
1031,강동구,
1032,강동구,
1033,강동구,
1034,강동구,
1035,강동구,
1036,강동구,
1037,강동구,
1038,강동구,
1039,강동구,
1041,강동구,
1042,강동구,
1044,강동구,
1047,강동구,
1048,강동구,
1049,강동구,
1050,강동구,
1051,강동구,
1052,강동구,
1053,강동구,
1054,강동구,
1056,강동구,
1057,강동구,
1058,강동구,
1059,강동구,
1060,강동구,
1061,강동구,
1062,강동구,
3539,강동구,
1063,강동구,
1064,강동구,
1065,강동구,
1066,강동구,
1067,강동구,
1068,강동구,
1069,강동구,
1070,강동구,
1071,강동구,
1072,강동구,
1073,강동구,
1074,강동구,
1075,강동구,
1076,강동구,
1077,강동구,
1078,강동구,
1079,강동구,
1080,강동구,
1081,강동구,
1082,강동구,
1083,강동구,
1084,강동구,
1085,강동구,
1086,강동구,
1088,강동구,
1089,강동구,
1090,강동구,
1501,강북구,
1503,강북구,
1504,강북구,
1506,강북구,
1509,강북구,
1510,강북구,
1511,강북구,
1512,강북구,
1513,강북구,
1514,강북구,
1515,강북구,
1516,강북구,
1518,강북구,
1519,강북구,
1520,강북구,
1522,강북구,
1525,강북구,
1526,강북구,
1527,강북구,
1528,강북구,
1529,강북구,
1530,강북구,
1531,강북구,
1532,강북구,
1533,강북구,
1534,강북구,
1535,강북구,
1536,강북구,
1537,강북구,
1538,강북구,
1539,강북구,
1540,강북구,
1541,강북구,
1542,강북구,
1543,강북구,
1545,강북구,
1546,강북구,
1547,강북구,
1548,강북구,
1551,강북구,
1552,강북구,
1553,강북구,
1554,강북구,
1557,강북구,
1558,강북구,
1560,강북구,
1564,강북구,
1565,강북구,
1566,강북구,
1568,강북구,
1569,강북구,
1101,강서구,
1102,강서구,
1103,강서구,
1105,강서구,
1106,강서구,
1108,강서구,
1109,강서구,
1110,강서구,
1111,강서구,
1112,강서구,
1113,강서구,
1114,강서구,
1115,강서구,
1117,강서구,
1118,강서구,
1119,강서구,
1120,강서구,
1121,강서구,
1122,강서구,
1124,강서구,
1125,강서구,
1126,강서구,
1127,강서구,
1128,강서구,
1129,강서구,
1130,강서구,
1131,강서구,
1132,강서구,
1135,강서구,
1136,강서구,
1137,강서구,
1139,강서구,
1140,강서구,
1141,강서구,
1145,강서구,
1146,강서구,
1148,강서구,
1149,강서구,
1150,강서구,
1151,강서구,
1152,강서구,
1153,강서구,
1155,강서구,
1157,강서구,
1158,강서구,
1159,강서구,
1160,강서구,
1161,강서구,
1162,강서구,
1163,강서구,
1165,강서구,
1166,강서구,
1167,강서구,
1168,강서구,
1169,강서구,
1170,강서구,
1171,강서구,
1172,강서구,
1173,강서구,
1174,강서구,
1175,강서구,
1177,강서구,
1178,강서구,
1180,강서구,
1181,강서구,
1182,강서구,
1183,강서구,
1184,강서구,
1185,강서구,
1186,강서구,
1187,강서구,
1188,강서구,
1190,강서구,
1191,강서구,
1192,강서구,
1193,강서구,
1194,강서구,
1195,강서구,
1196,강서구,
1197,강서구,
1198,강서구,
1199,강서구,
1200,강서구,
2701,강서구,
2702,강서구,
2703,강서구,
2704,강서구,
2706,강서구,
2707,강서구,
2708,강서구,
2709,강서구,
2710,강서구,
2711,강서구,
2712,강서구,
2713,강서구,
2714,강서구,
2715,강서구,
2716,강서구,
2717,강서구,
2718,강서구,
2719,강서구,
2720,강서구,
2721,강서구,
2722,강서구,
2723,강서구,
2724,강서구,
2725,강서구,
2727,강서구,
2728,강서구,
2729,강서구,
2730,강서구,
