기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	서울시	합계	823,385	279,711	5,210,936	2,878,227	2,332,709	624,869	1,573,654	156,768	2,792,680	20,498	708,244	21,250	136,358	764,987	3,260,903	16,740	1,167,192	41,658	782,841
2018	서울시	농업 임업 및 어업	30	6	462	384	78	-	-	23	270	7	192	-	-	24	170	4	288	2	4
2018	서울시	광업	24	1	81	62	19	1	1	23	80	-	-	-	-	20	49	4	32	-	-
2018	서울시	제조업	58,970	13,904	266,500	154,449	112,051	48,621	149,396	10,164	114,863	160	1,990	25	251	56,993	222,066	1,114	33,411	863	11,023
2018	서울시	전기 가스 증기 및 공기조절 공급업	183	11	6,083	4,936	1,147	20	44	124	3,090	38	2,944	1	5	122	700	11	1,641	50	3,742
2018	서울시	수도 하수 및 폐기물 처리 원료 재생업	451	54	9,139	7,738	1,401	67	201	290	6,339	94	2,599	-	-	402	7,764	21	754	28	621
2018	서울시	건설업	21,825	3,297	379,353	327,286	52,067	11,253	32,091	10,529	346,541	41	712	2	9	20,513	238,480	722	120,687	590	20,186
2018	서울시	도매 및 소매업	223,955	83,311	896,326	491,875	404,451	168,740	361,647	54,427	528,372	700	5,905	88	402	205,459	575,755	5,276	180,736	13,220	139,835
2018	서울시	운수 및 창고업	95,412	4,486	272,618	226,286	46,332	89,607	100,247	4,946	151,678	799	20,179	60	514	93,352	176,888	706	61,213	1,354	34,517
2018	서울시	숙박 및 음식점업	130,595	69,126	495,092	202,019	293,073	119,762	367,281	10,434	124,417	280	2,763	119	631	122,650	397,067	714	13,383	7,231	84,642
