기간	자치구	상주인구	유입인구	유입인구	유입인구	유출인구	유출인구	유출인구	주간인구	주간인구지수
2015	종로구	147,607	285,056	254,624	30,432	40,535	34,419	6,116	392,128	265.7
2015	중구	118,632	354,301	330,898	23,403	30,708	25,872	4,836	442,225	372.8
2015	용산구	211,973	126,855	111,234	15,621	68,822	60,184	8,638	270,006	127.4
2015	성동구	283,996	127,077	103,131	23,946	99,815	86,960	12,855	311,258	109.6
2015	광진구	349,775	101,401	73,000	28,401	127,334	112,672	14,662	323,842	92.6
2015	동대문구	348,131	137,142	107,927	29,215	107,323	92,906	14,417	377,950	108.6
2015	중랑구	393,901	49,737	43,095	6,642	135,228	119,147	16,081	308,410	78.3
2015	성북구	443,960	116,454	59,245	57,209	149,680	130,739	18,941	410,734	92.5
2015	강북구	312,563	43,081	38,137	4,944	107,151	92,628	14,523	248,493	79.5
2015	도봉구	334,142	40,667	34,667	6,000	116,224	100,075	16,149	258,585	77.4
2015	노원구	552,958	94,612	60,744	33,868	179,247	157,424	21,823	468,323	84.7
2015	은평구	469,192	42,461	37,237	5,224	161,624	142,708	18,916	350,029	74.6
2015	서대문구	298,025	133,850	78,958	54,892	100,448	87,003	13,445	331,427	111.2
2015	마포구	368,536	194,120	170,474	23,646	123,089	105,492	17,597	439,567	119.3
2015	양천구	455,584	67,561	63,231	4,330	161,662	138,119	23,543	361,483	79.3
2015	강서구	558,064	108,882	99,773	9,109	182,925	161,593	21,332	484,021	86.7
2015	구로구	405,428	159,357	148,026	11,331	138,448	123,596	14,852	426,337	105.2
2015	금천구	225,481	135,190	133,596	1,594	71,896	63,219	8,677	288,775	128.1
2015	영등포구	357,863	283,249	278,007	5,242	118,438	102,084	16,354	522,674	146.1
2015	동작구	390,678	102,550	66,554	35,996	145,182	127,418	17,764	348,046	89.1
2015	관악구	493,859	75,951	57,221	18,730	182,641	163,176	19,465	387,169	78.4
2015	서초구	411,771	303,313	288,488	14,825	135,642	114,292	21,350	579,442	140.7
2015	강남구	529,413	614,213	598,506	15,707	148,590	122,873	25,717	995,036	188
2015	송파구	620,433	169,502	162,997	6,505	195,626	166,953	28,673	594,309	95.8
2015	강동구	434,196	69,947	66,534	3,413	141,103	122,122	18,981	363,040	83.6
